employee_id,department,amount,category,merchant,description,receipt_attached,hour_of_day,day_of_week,is_weekend,is_round_number,description_length,is_anomaly,monthly_expense_count,monthly_total_amount,amount_vs_avg_ratio,days_since_last_expense,category_frequency,merchant_frequency
EMP0001,hr,10.29,office_supplies,Amazon,Office Supplies - Amazon,True,13,4,0,0,21,0,1,10.29,1.0,7,0.14,0.49
EMP0001,hr,67.04,meals,UberEats,Meals - UberEats,True,9,4,0,0,59,0,2,77.33000000000001,1.73,2,0.62,0.58
EMP0001,hr,102.44,office_supplies,Best Buy,Office Supplies - Best Buy,True,5,0,0,0,6,1,3,179.77,1.71,10,0.78,0.38
EMP0001,hr,16.09,transportation,Uber,Transportation - Uber,False,9,1,0,0,72,0,4,195.86,0.33,9,0.21,0.51
EMP0001,hr,126.7,accommodation,Marriott,Accommodation - Marriott,True,11,1,0,0,74,0,5,322.56,1.96,1,0.64,0.58
EMP0001,hr,261.2,accommodation,Airbnb,Accommodation - Airbnb,True,10,2,0,0,58,0,6,583.76,2.68,9,0.75,0.51
EMP0001,hr,51.2,software,Adobe,Software - Adobe,True,13,5,1,0,25,0,7,634.96,0.56,13,0.4,0.59
EMP0001,hr,155.63,client_entertainment,Restaurant,Client Entertainment - Restaurant,False,8,3,0,0,47,0,8,790.59,1.57,2,0.17,0.31
EMP0001,hr,74.16,meals,Subway,Meals - Subway,True,9,1,0,0,23,0,9,864.75,0.77,12,0.5,0.15
EMP0001,hr,636.17,travel,American Airlines,Travel - American Airlines,True,11,3,0,0,36,0,10,1500.9199999999998,4.24,7,0.31,0.54
EMP0001,hr,168.0,transportation,Lyft,Transportation - Lyft,True,17,3,0,0,25,1,11,1668.9199999999998,1.11,8,0.11,0.3
EMP0001,hr,491.75,client_entertainment,Golf Club,Client Entertainment - Golf Club,True,10,3,0,0,59,0,12,2160.67,2.73,13,0.49,0.48
EMP0001,hr,202.84,accommodation,Airbnb,Accommodation - Airbnb,True,9,2,0,0,11,0,13,2363.5099999999998,1.12,6,0.81,0.19
EMP0001,hr,274.5,accommodation,Hampton Inn,Accommodation - Hampton Inn,True,12,3,0,0,41,0,14,2638.0099999999998,1.46,1,0.85,0.37
EMP0001,hr,176.67,client_entertainment,Restaurant,Client Entertainment - Restaurant,True,11,2,0,0,49,0,15,2814.68,0.94,8,0.35,0.46
EMP0001,hr,158.64,training,Workshop,Training - Workshop,True,12,2,0,0,32,0,16,2973.3199999999997,0.85,3,0.2,0.06
EMP0001,hr,39.28,transportation,Lyft,Transportation - Lyft,True,14,4,0,0,41,0,17,3012.6,0.22,6,0.73,0.43
EMP0001,hr,51.4,miscellaneous,Other,Miscellaneous - Other,True,11,6,1,0,48,0,18,3064.0,0.3,0,0.39,0.24
EMP0001,hr,439.95,software,Slack,Software - Slack,True,11,3,0,0,17,0,19,3503.95,2.39,1,0.43,0.12
EMP0001,hr,149.23,accommodation,Hilton,Accommodation - Hilton,True,13,0,0,0,21,0,20,3653.18,0.82,3,0.87,0.17
EMP0001,hr,198.23,miscellaneous,Misc Vendor,Miscellaneous - Misc Vendor,True,9,2,0,0,26,1,21,3851.41,1.08,7,0.56,0.4
EMP0001,hr,45.21,meals,Starbucks,Meals - Starbucks,True,14,1,0,0,21,0,22,3896.62,0.26,6,0.77,0.53
EMP0001,hr,349.53,client_entertainment,Event Venue,Client Entertainment - Event Venue,True,13,3,0,0,53,0,23,4246.15,1.89,12,0.75,0.54
EMP0001,hr,316.31,client_entertainment,Sports Event,Client Entertainment - Sports Event,True,14,2,0,0,17,0,24,4562.46,1.66,0,0.58,0.53
EMP0001,hr,300.0,equipment,Amazon,Equipment - Amazon,True,12,1,0,1,11,1,25,4862.46,1.54,9,0.15,0.29
EMP0001,hr,224.16,client_entertainment,Restaurant,Client Entertainment - Restaurant,True,9,3,0,0,73,0,26,5086.62,1.15,14,0.71,0.18
EMP0001,hr,52.4,software,Slack,Software - Slack,True,16,0,0,0,47,0,27,5139.0199999999995,0.28,3,0.4,0.23
EMP0001,hr,67.54,miscellaneous,Other,Miscellaneous - Other,True,15,0,0,0,25,0,28,5206.5599999999995,0.36,10,0.76,0.42
EMP0001,hr,792.92,accommodation,Airbnb,Accommodation - Airbnb,False,18,0,0,0,10,1,29,5999.48,3.83,6,0.33,0.06
EMP0001,hr,152.15,office_supplies,Office Depot,Office Supplies - Office Depot,True,7,5,1,0,31,0,30,6151.63,0.74,12,0.41,0.57
EMP0001,hr,1613.52,equipment,Apple Store,Equipment - Apple Store,False,12,0,0,0,75,0,31,7765.15,6.44,13,0.77,0.18
EMP0001,hr,134.98,miscellaneous,Other,Miscellaneous - Other,True,10,1,0,0,73,0,32,7900.13,0.55,4,0.59,0.37
EMP0001,hr,226.61,software,Google Cloud,Software - Google Cloud,True,8,2,0,0,67,0,33,8126.74,0.92,12,0.61,0.15
EMP0001,hr,1145.92,office_supplies,Workshop,Training - Workshop,True,16,0,0,0,30,1,34,9272.66,4.2,1,0.7,0.37
EMP0001,hr,198.3,office_supplies,Office Depot,Office Supplies - Office Depot,True,15,6,1,0,76,0,35,9470.96,0.73,11,0.59,0.5
EMP0001,hr,169.77,transportation,Uber,Transportation - Uber,False,18,3,0,0,26,1,36,9640.73,0.63,10,0.19,0.24
EMP0001,hr,494.56,client_entertainment,Event Venue,Client Entertainment - Event Venue,True,11,3,0,0,10,0,37,10135.289999999999,1.81,12,0.77,0.32
EMP0001,hr,369.81,client_entertainment,Golf Club,Client Entertainment - Golf Club,True,12,2,0,0,68,0,38,10505.1,1.34,13,0.37,0.49
EMP0001,hr,461.65,client_entertainment,Golf Club,Client Entertainment - Golf Club,False,13,0,0,0,49,0,39,10966.75,1.64,4,0.59,0.35
EMP0002,operations,54.35,office_supplies,Amazon,Office Supplies - Amazon,True,14,4,0,0,69,0,1,54.35,1.0,27,0.7,0.51
EMP0002,operations,208.81,software,AWS,Software - AWS,True,14,0,0,0,18,0,2,263.16,1.59,10,0.27,0.15
EMP0002,operations,11.78,transportation,Parking,Transportation - Parking,False,12,4,0,0,71,0,3,274.94,0.13,7,0.63,0.21
EMP0002,operations,83.58,software,AWS,Software - AWS,True,15,4,0,0,61,0,4,358.52,0.93,14,0.5,0.47
EMP0002,operations,2901.45,office_supplies,Amazon,Equipment - Amazon,True,8,4,0,0,27,1,5,3259.97,4.45,8,0.81,0.13
EMP0002,operations,321.52,training,Conference Registration,Training - Conference Registration,True,15,0,0,0,27,0,6,3581.49,0.54,7,0.7,0.19
EMP0002,operations,14.19,office_supplies,Office Depot,Office Supplies - Office Depot,False,9,2,0,0,36,0,7,3595.68,0.03,10,0.34,0.5
EMP0002,operations,180.88,training,Conference Registration,Training - Conference Registration,True,12,2,0,0,71,0,8,3776.56,0.38,6,0.6,0.55
EMP0002,operations,425.05,software,Zoom,Software - Zoom,False,15,2,0,0,50,0,9,4201.61,0.91,6,0.63,0.18
EMP0002,operations,486.64,client_entertainment,Sports Event,Client Entertainment - Sports Event,True,11,0,0,0,46,0,10,4688.25,1.04,5,0.81,0.25
EMP0002,operations,297.93,training,Udemy,Training - Udemy,True,14,3,0,0,57,0,11,4986.179999999999,0.66,13,0.47,0.49
EMP0002,operations,762.38,travel,Southwest,Travel - Southwest,False,17,1,0,0,55,0,12,5748.5599999999995,1.59,5,0.6,0.06
EMP0002,operations,126.87,client_entertainment,Restaurant,Client Entertainment - Restaurant,True,15,2,0,0,53,0,13,5875.429999999999,0.28,3,0.78,0.08
EMP0002,operations,160.33,client_entertainment,Restaurant,Client Entertainment - Restaurant,True,10,2,0,0,41,0,14,6035.76,0.37,0,0.51,0.08
EMP0002,operations,37.69,meals,Starbucks,Meals - Starbucks,True,11,0,0,0,66,0,15,6073.45,0.09,2,0.29,0.49
EMP0002,operations,11.34,meals,Starbucks,Meals - Starbucks,True,18,4,0,0,31,0,16,6084.79,0.03,6,0.18,0.18
EMP0002,operations,280.12,accommodation,Marriott,Accommodation - Marriott,False,10,2,0,0,51,0,17,6364.91,0.75,11,0.27,0.57
EMP0002,operations,56.84,miscellaneous,Misc Vendor,Miscellaneous - Misc Vendor,True,8,4,0,0,41,0,18,6421.75,0.16,0,0.51,0.12
EMP0002,operations,123.78,miscellaneous,Other,Miscellaneous - Other,True,9,2,0,0,57,0,19,6545.53,0.36,5,0.67,0.25
EMP0002,operations,432.03,software,Adobe,Software - Adobe,True,17,3,0,0,64,0,20,6977.5599999999995,1.24,0,0.81,0.35
